Route_Name,Start_Location,End_Location,Station_Name,Station_Type,Latitude,Longitude,Station_Distance_km,Distance_from_End_km,Fare_INR,Travel_Time_min
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 096,Bus,18.517284,73.839854,3.526,3.071,12,10
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 097,Bus,18.51669,73.83969,3.566,3.031,13,11
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 098,Bus,18.5161,73.840044,3.606,2.991,13,9
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 099,Bus,18.516876,73.840423,3.645,2.952,14,11
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 100,Bus,18.516862,73.84279,3.685,2.912,15,9
Kothrud Depot–Swargate,Kothrud Depot,Swargate,Deccan Gymkhana,Bus,18.517397,73.841239,3.725,2.872,15,10
Kothrud Depot–Swargate,Kothrud Depot,Swargate,Deccan Gymkhana,Bus,18.517661,73.841174,3.725,2.872,15,11
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 103,Bus,18.514873,73.840981,3.762,2.835,14,11
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 104,Metro,18.514811,73.841793,3.8,2.797,13,12
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 105,Bus,18.516126,73.843702,3.837,2.76,15,13
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 106,Bus,18.516177,73.842473,3.874,2.723,15,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 107,Bus,18.516383,73.841166,3.912,2.685,14,12
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 108,Bus,18.515712,73.843839,3.949,2.648,14,12
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 109,Bus,18.514144,73.844424,3.986,2.611,14,13
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 110,Bus,18.515402,73.843464,4.023,2.574,14,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 111,Bus,18.515441,73.8459,4.061,2.536,14,14
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 112,Bus,18.514884,73.844569,4.098,2.499,15,12
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 113,Bus,18.514175,73.843977,4.135,2.462,14,14
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 114,Bus,18.515011,73.844259,4.173,2.424,15,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 115,Bus,18.514208,73.844849,4.21,2.387,15,14
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 116,Metro,18.514338,73.845785,4.247,2.35,15,13
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 117,Bus,18.514588,73.845397,4.285,2.312,16,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 118,Bus,18.513346,73.845309,4.322,2.275,16,12
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 119,Bus,18.513011,73.846681,4.359,2.238,15,13
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 120,Bus,18.513776,73.845929,4.396,2.201,15,13
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 121,Bus,18.51367,73.848038,4.434,2.163,16,17
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 122,Bus,18.513109,73.848742,4.471,2.126,15,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 123,Bus,18.511963,73.846532,4.508,2.089,16,14
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 124,Bus,18.510963,73.849011,4.546,2.051,16,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 125,Metro,18.512713,73.848057,4.583,2.014,16,14
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 126,Bus,18.512217,73.847488,4.62,1.977,16,13
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 127,Bus,18.513754,73.848779,4.658,1.939,15,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 128,Bus,18.511689,73.849543,4.695,1.902,16,14
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 129,Bus,18.51179,73.849428,4.732,1.865,16,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 130,Bus,18.510577,73.849914,4.769,1.828,16,13
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 131,Bus,18.512519,73.8509,4.807,1.79,16,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 132,Bus,18.512091,73.849701,4.844,1.753,16,16
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 133,Bus,18.509829,73.850297,4.881,1.716,17,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 134,Bus,18.510469,73.85156,4.919,1.678,17,17
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 135,Bus,18.508875,73.852195,4.956,1.641,17,16
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 136,Bus,18.509906,73.850917,4.993,1.604,17,13
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 137,Bus,18.509027,73.850222,5.031,1.566,17,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 138,Bus,18.510299,73.851891,5.068,1.529,17,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 139,Bus,18.508412,73.851083,5.105,1.492,17,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 140,Bus,18.508979,73.853742,5.142,1.455,18,17
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 141,Bus,18.508844,73.851491,5.18,1.417,18,16
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 142,Bus,18.508659,73.852762,5.217,1.38,18,16
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 143,Bus,18.506502,73.853224,5.254,1.343,17,16
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 144,Bus,18.508279,73.854112,5.292,1.305,19,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 145,Bus,18.509747,73.854743,5.329,1.268,17,20
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 146,Bus,18.507856,73.853243,5.366,1.231,17,17
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 147,Bus,18.509934,73.854463,5.404,1.193,19,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 148,Bus,18.50769,73.854683,5.441,1.156,19,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 149,Bus,18.507642,73.854874,5.478,1.119,17,17
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 150,Metro,18.506828,73.854839,5.515,1.082,19,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 151,Metro,18.507065,73.855129,5.553,1.044,18,15
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 152,Bus,18.506325,73.855936,5.59,1.007,18,19
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 153,Bus,18.506495,73.857341,5.627,0.97,18,16
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 154,Bus,18.504382,73.857298,5.665,0.932,19,19
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 155,Bus,18.507303,73.855053,5.702,0.895,18,19
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 156,Bus,18.505836,73.856702,5.739,0.858,19,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 157,Metro,18.504788,73.856663,5.777,0.82,19,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 158,Bus,18.50483,73.858975,5.814,0.783,20,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 159,Bus,18.506271,73.858877,5.851,0.746,19,17
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 160,Bus,18.505903,73.857244,5.889,0.708,18,19
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 161,Bus,18.50471,73.858825,5.926,0.671,19,16
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 162,Bus,18.503956,73.859291,5.963,0.634,20,19
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 163,Metro,18.504545,73.858708,6.0,0.597,20,19
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 164,Bus,18.50511,73.85965,6.038,0.559,19,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 165,Bus,18.504057,73.860509,6.075,0.522,20,22
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 166,Bus,18.503284,73.860362,6.112,0.485,19,23
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 167,Metro,18.504428,73.859908,6.15,0.447,20,20
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 168,Bus,18.504018,73.859442,6.187,0.41,19,22
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 169,Bus,18.5043,73.860582,6.224,0.373,20,22
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 170,Bus,18.502947,73.861856,6.262,0.335,20,19
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 171,Bus,18.502605,73.860177,6.299,0.298,20,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 172,Metro,18.501727,73.862076,6.336,0.261,21,17
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 173,Bus,18.501752,73.863282,6.373,0.224,20,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 174,Bus,18.500915,73.863522,6.411,0.186,20,18
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 175,Bus,18.502553,73.862375,6.448,0.149,20,19
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 176,Bus,18.501752,73.863058,6.485,0.112,20,19
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 177,Metro,18.501962,73.863909,6.523,0.074,20,21
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 178,Bus,18.501887,73.863433,6.56,0.037,20,21
Kothrud Depot–Swargate,Kothrud Depot,Swargate,Swargate End,Bus,18.501309,73.863554,6.597,0.0,20,16
Pune Railway Station–Katraj,Pune Railway Station,Katraj,Pune Railway Station Start,Bus,18.528321,73.873721,0.0,13.43,5,2
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 001,Bus,18.528878,73.876261,0.087,13.343,5,0
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 002,Bus,18.529977,73.875544,0.174,13.256,5,3
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 003,Bus,18.531031,73.875991,0.261,13.169,5,3
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 004,Bus,18.530536,73.876243,0.348,13.082,6,3
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 005,Bus,18.531221,73.87697,0.434,12.996,5,2
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 006,Bus,18.532396,73.877642,0.521,12.909,5,1
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 007,Bus,18.532936,73.878135,0.608,12.822,6,4
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 008,Bus,18.532949,73.877201,0.695,12.735,7,1
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 009,Bus,18.534154,73.879677,0.782,12.648,7,2
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 010,Bus,18.534756,73.877683,0.869,12.561,8,3
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 011,Bus,18.536164,73.880488,0.956,12.474,6,6
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 012,Bus,18.535915,73.880368,1.043,12.387,8,1
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 013,Bus,18.536055,73.880957,1.13,12.3,9,7
Pune Railway Station–Katraj,Pune Railway Station,Katraj,Ruby Hall,Bus,18.535601,73.883931,1.216,12.214,8,5
Pune Railway Station–Katraj,Pune Railway Station,Katraj,Ruby Hall,Bus,18.535947,73.882574,1.216,12.214,8,3
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 016,Bus,18.537146,73.883457,1.296,12.134,8,4
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 017,Bus,18.53692,73.884012,1.376,12.054,9,6
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 018,Bus,18.539073,73.884334,1.456,11.974,8,6
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 019,Bus,18.537661,73.885881,1.535,11.895,9,3
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 020,Bus,18.538734,73.88665,1.615,11.815,9,4
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 021,Bus,18.538711,73.885446,1.695,11.735,10,5
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 022,Bus,18.539857,73.886103,1.775,11.655,10,6
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 023,Bus,18.539142,73.887077,1.854,11.576,10,6
Pune Railway Station–Katraj,Pune Railway Station,Katraj,PUN-KAT Stop 024,Bus,18.539199,73.888603,1.934,11.496,11,8
Pune Railway Station–Katraj,Pune Railway Station,Katraj,Bund Garden,Bus,18.539857,73.889338,2.014,11.416,10,8
Pune Railway Station–Katraj,Pune Railway Station,Katraj,Bund Garden,Bus,18.540891,73.889363,2.014,11.416,10,5
